ind_id,ind_definition,reportyear,race_eth_code,race_eth_name,geotype,geotypevalue,geoname,county_name,county_fips,region_name,region_code,numerator,denominator,estimate,CA_RR,version
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06077002100,21,San Joaquin,06077,San Joaquin Valley,10,69,689,10,0.5780346821,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037554403,5544.03,Los Angeles,06037,Southern California,14,53,452,11.7,0.676300578,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06065042508,425.08,Riverside,06065,Southern California,14,63,313,20.1,1.161849711,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037270300,2703,Los Angeles,06037,Southern California,14,130,963,13.5,0.7803468208,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037900101,9001.01,Los Angeles,06037,Southern California,14,68,576,11.8,0.6820809249,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06001430500,4305,Alameda,06001,Bay Area,01,125,654,19.1,1.104046243,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06077002300,23,San Joaquin,06077,San Joaquin Valley,10,4,273,1.5,0.08670520231,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06073003201,32.01,San Diego,06073,San Diego,09,36,395,9.1,0.5260115607,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06065042511,425.11,Riverside,06065,Southern California,14,44,315,14,0.8092485549,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06099000803,8.03,Stanislaus,06099,San Joaquin Valley,10,10,149,6.7,0.387283237,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06067006702,67.02,Sacramento,06067,Sacramento Area,08,9,980,0.9,0.05202312139,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037554512,5545.12,Los Angeles,06037,Southern California,14,129,353,36.5,2.10982659,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06077002502,25.02,San Joaquin,06077,San Joaquin Valley,10,40,638,6.3,0.3641618497,Tue Jun 12 12:05:41 2018
355,Percent of population age 25 and up with a four-year college degree or higher,2000,3,AfricanAm,CT,06037600602,6006.02,Los Angeles,06037,Southern California,14,49,544,9,0.5202312139,Tue Jun 12 12:05:41 2018
